"UTLA22NM","AreaCode","Value"
"Barking and Dagenham","E09000002",0.223767378701624
"Barnet","E09000003",0.16234158859043
"Barnsley","E08000016",0.190428945430333
"Bath and North East Somerset","E06000022",0.141304098887327
"Bedford","E06000055",0.158709909335074
"Bexley","E09000004",0.159824208981329
"Birmingham","E08000025",0.210531111250292
"Blackburn with Darwen","E06000008",0.199196564718254
"Blackpool","E06000009",0.204620889901025
"Bolton","E08000001",0.188987632469449
"Bournemouth, Christchurch and Poole","E06000058",0.154325372689218
"Bracknell Forest","E06000036",0.133941453094398
"Bradford","E08000032",0.194786571978757
"Brent","E09000005",0.207672060043605
"Brighton and Hove","E06000043",0.190481064693913
"Bristol","E06000023",0.18650404936264
"Bromley","E09000006",0.151292781873052
"Buckinghamshire UA","E06000060",0.133600074170743
"Bury","E08000002",0.175178436246727
"Calderdale","E08000033",0.173590694910722
"Cambridgeshire","E10000003",0.142286068129057
"Camden","E09000007",0.193995006719884
"Central Bedfordshire","E06000056",0.132473680697992
"Cheshire East","E06000049",0.140205248251546
"Cheshire West and Chester","E06000050",0.15251974550715
"City of London","E09000001",0.133918948015995
"Cornwall","E06000052",0.174749936202197
"County Durham","E06000047",0.182769595378121
"Coventry","E08000026",0.190756325129779
"Croydon","E09000008",0.183896784940529
"Cumbria","E10000006",0.162832811542666
"Darlington","E06000005",0.174312054104846
"Derby","E06000015",0.177482909219677
"Derbyshire","E10000007",0.159731457391209
"Devon","E10000008",0.154305927835834
"Doncaster","E08000017",0.191377412740874
"Dorset","E06000059",0.140851319871429
"Dudley","E08000027",0.17405915200211
"Ealing","E09000009",0.191891584344595
"East Riding of Yorkshire","E06000011",0.142186362463003
"East Sussex","E10000011",0.160485899771961
"Enfield","E09000010",0.191777820169428
"Essex","E10000012",0.149363499813501
"Gateshead","E08000037",0.192265250163143
"Gloucestershire","E10000013",0.145536599562295
"Greenwich","E09000011",0.213635965588201
"Hackney","E09000012",0.243547288176697
"Halton","E06000006",0.193446200548374
"Hammersmith and Fulham","E09000013",0.204491579823539
"Hampshire","E10000014",0.134698249701816
"Haringey","E09000014",0.222768880049101
"Harrow","E09000015",0.155990871196543
"Hartlepool","E06000001",0.192573418579613
"Havering","E09000016",0.159489993226484
"Herefordshire","E06000019",0.156144761401987
"Hertfordshire","E10000015",0.139574075237012
"Hillingdon","E09000017",0.1744372388561
"Hounslow","E09000018",0.182723856736243
"Isle of Wight","E06000046",0.165426891787407
"Isles of Scilly","E06000053",0.154984366857738
"Islington","E09000019",0.226607030874047
"Kensington and Chelsea","E09000020",0.181187098810092
"Kent","E10000016",0.158030959846085
"Kingston upon Hull","E06000010",0.204654620411595
"Kingston upon Thames","E09000021",0.143747034978658
"Kirklees","E08000034",0.180445734750529
"Knowsley","E08000011",0.209611999966405
"Lambeth","E09000022",0.221000265643006
"Lancashire","E10000017",0.167234103244802
"Leeds","E08000035",0.181876448418109
"Leicester","E06000016",0.205986258613117
"Leicestershire","E10000018",0.136966432565453
"Lewisham","E09000023",0.21840246911515
"Lincolnshire","E10000019",0.158392075197124
"Liverpool","E08000012",0.217416395293194
"Luton","E06000032",0.192873234072873
"Manchester","E08000003",0.221918424395275
"Medway","E06000035",0.173642706725969
"Merton","E09000024",0.154734104010831
"Middlesbrough","E06000002",0.196223856370338
"Milton Keynes","E06000042",0.15308197405117
"Newcastle upon Tyne","E08000021",0.189206697459584
"Newham","E09000025",0.238802868855492
"Norfolk","E10000020",0.157545985923414
"North East Lincolnshire","E06000012",0.180923616390746
"North Lincolnshire","E06000013",0.167541816305026
"North Northamptonshire","E06000061",0.156050876450165
"North Somerset","E06000024",0.142179279119013
"North Tyneside","E08000022",0.173299174686411
"North Yorkshire Cty","E10000023",0.140791674045042
"Northumberland","E06000057",0.160595605375788
"Nottingham","E06000018",0.207646488905157
"Nottinghamshire","E10000024",0.162321684365773
"Oldham","E08000004",0.192098545193052
"Oxfordshire","E10000025",0.139335132921088
"Peterborough","E06000031",0.188055189177213
"Plymouth","E06000026",0.181888071312804
"Portsmouth","E06000044",0.184959741872
"Reading","E06000038",0.179936088103138
"Redbridge","E09000026",0.177404360188762
"Redcar and Cleveland","E06000003",0.181056031505387
"Richmond upon Thames","E09000027",0.132138812891709
"Rochdale","E08000005",0.198793162333386
"Rotherham","E08000018",0.186317379475255
"Rutland","E06000017",0.119345060358196
"Salford","E08000006",0.203637171534119
"Sandwell","E08000028",0.214700236309137
"Sefton","E08000014",0.170528797748504
"Sheffield","E08000019",0.184843570152913
"Shropshire","E06000051",0.152043736486818
"Slough","E06000039",0.19330673900421
"Solihull","E08000029",0.147134182412917
"Somerset Cty","E10000027",0.151283456136211
"South Gloucestershire","E06000025",0.135800534938442
"South Tyneside","E08000023",0.191245949591303
"Southampton","E06000045",0.186988657588867
"Southend-on-Sea","E06000033",0.175462364931656
"Southwark","E09000028",0.214093632973457
"St. Helens","E08000013",0.184157895454793
"Staffordshire","E10000028",0.153429968551845
"Stockport","E08000007",0.157809931791361
"Stockton-on-Tees","E06000004",0.170135499911206
"Stoke-on-Trent","E06000021",0.203256689981728
"Suffolk","E10000029",0.14807269035533
"Sunderland","E08000024",0.192895101898015
"Surrey","E10000030",0.12767274454639
"Sutton","E09000029",0.155130825221542
"Swindon","E06000030",0.15299215552135
"Tameside","E08000008",0.194904884275776
"Telford and Wrekin","E06000020",0.176784804152902
"Thurrock","E06000034",0.172890926787724
"Torbay","E06000027",0.179128758872494
"Tower Hamlets","E09000030",0.22754194520827
"Trafford","E08000009",0.154430100568902
"Wakefield","E08000036",0.183457229048582
"Walsall","E08000030",0.193759180145362
"Waltham Forest","E09000031",0.224582170976007
"Wandsworth","E09000032",0.187829832328916
"Warrington","E06000007",0.158756855866408
"Warwickshire","E10000031",0.147694552058111
"West Berkshire","E06000037",0.13160476074161
"West Northamptonshire","E06000062",0.156050876450165
"West Sussex","E10000032",0.144479398665294
"Westminster","E09000033",0.187242225827162
"Wigan","E08000010",0.180330707975
"Wiltshire","E06000054",0.136417206350312
"Windsor and Maidenhead","E06000040",0.127498547069924
"Wirral","E08000015",0.174332645045278
"Wokingham","E06000041",0.116442780264239
"Wolverhampton","E08000031",0.204720944251074
"Worcestershire","E10000034",0.150292031669245
"York","E06000014",0.147535734435105
