"","AreaCode","UTLA22NM"
"1","E09000002","Barking and Dagenham"
"2","E09000003","Barnet"
"3","E08000016","Barnsley"
"4","E06000022","Bath and North East Somerset"
"5","E06000055","Bedford"
"6","E09000004","Bexley"
"7","E08000025","Birmingham"
"8","E06000008","Blackburn with Darwen"
"9","E06000009","Blackpool"
"10","E08000001","Bolton"
"11","E06000058","Bournemouth, Christchurch and Poole"
"12","E06000036","Bracknell Forest"
"13","E08000032","Bradford"
"14","E09000005","Brent"
"15","E06000043","Brighton and Hove"
"16","E06000023","Bristol, City of"
"17","E09000006","Bromley"
"18","E06000060","Buckinghamshire"
"19","E08000002","Bury"
"20","E08000033","Calderdale"
"21","E10000003","Cambridgeshire"
"22","E09000007","Camden"
"23","E06000056","Central Bedfordshire"
"24","E06000049","Cheshire East"
"25","E06000050","Cheshire West and Chester"
"26","E09000001","City of London"
"27","E06000052","Cornwall"
"28","E06000047","County Durham"
"29","E08000026","Coventry"
"30","E09000008","Croydon"
"31","E10000006","Cumbria"
"32","E06000005","Darlington"
"33","E06000015","Derby"
"34","E10000007","Derbyshire"
"35","E10000008","Devon"
"36","E08000017","Doncaster"
"37","E06000059","Dorset"
"38","E08000027","Dudley"
"39","E09000009","Ealing"
"40","E06000011","East Riding of Yorkshire"
"41","E10000011","East Sussex"
"42","E09000010","Enfield"
"43","E10000012","Essex"
"44","E08000037","Gateshead"
"45","E10000013","Gloucestershire"
"46","E09000011","Greenwich"
"47","E09000012","Hackney"
"48","E06000006","Halton"
"49","E09000013","Hammersmith and Fulham"
"50","E10000014","Hampshire"
"51","E09000014","Haringey"
"52","E09000015","Harrow"
"53","E06000001","Hartlepool"
"54","E09000016","Havering"
"55","E06000019","Herefordshire, County of"
"56","E10000015","Hertfordshire"
"57","E09000017","Hillingdon"
"58","E09000018","Hounslow"
"59","E06000046","Isle of Wight"
"60","E06000053","Isles of Scilly"
"61","E09000019","Islington"
"62","E09000020","Kensington and Chelsea"
"63","E10000016","Kent"
"64","E06000010","Kingston upon Hull, City of"
"65","E09000021","Kingston upon Thames"
"66","E08000034","Kirklees"
"67","E08000011","Knowsley"
"68","E09000022","Lambeth"
"69","E10000017","Lancashire"
"70","E08000035","Leeds"
"71","E06000016","Leicester"
"72","E10000018","Leicestershire"
"73","E09000023","Lewisham"
"74","E10000019","Lincolnshire"
"75","E08000012","Liverpool"
"76","E06000032","Luton"
"77","E08000003","Manchester"
"78","E06000035","Medway"
"79","E09000024","Merton"
"80","E06000002","Middlesbrough"
"81","E06000042","Milton Keynes"
"82","E08000021","Newcastle upon Tyne"
"83","E09000025","Newham"
"84","E10000020","Norfolk"
"85","E06000012","North East Lincolnshire"
"86","E06000013","North Lincolnshire"
"87","E06000061","North Northamptonshire"
"88","E06000024","North Somerset"
"89","E08000022","North Tyneside"
"90","E10000023","North Yorkshire"
"91","E06000057","Northumberland"
"92","E06000018","Nottingham"
"93","E10000024","Nottinghamshire"
"94","E08000004","Oldham"
"95","E10000025","Oxfordshire"
"96","E06000031","Peterborough"
"97","E06000026","Plymouth"
"98","E06000044","Portsmouth"
"99","E06000038","Reading"
"100","E09000026","Redbridge"
"101","E06000003","Redcar and Cleveland"
"102","E09000027","Richmond upon Thames"
"103","E08000005","Rochdale"
"104","E08000018","Rotherham"
"105","E06000017","Rutland"
"106","E08000006","Salford"
"107","E08000028","Sandwell"
"108","E08000014","Sefton"
"109","E08000019","Sheffield"
"110","E06000051","Shropshire"
"111","E06000039","Slough"
"112","E08000029","Solihull"
"113","E10000027","Somerset"
"114","E06000025","South Gloucestershire"
"115","E08000023","South Tyneside"
"116","E06000045","Southampton"
"117","E06000033","Southend-on-Sea"
"118","E09000028","Southwark"
"119","E08000013","St. Helens"
"120","E10000028","Staffordshire"
"121","E08000007","Stockport"
"122","E06000004","Stockton-on-Tees"
"123","E06000021","Stoke-on-Trent"
"124","E10000029","Suffolk"
"125","E08000024","Sunderland"
"126","E10000030","Surrey"
"127","E09000029","Sutton"
"128","E06000030","Swindon"
"129","E08000008","Tameside"
"130","E06000020","Telford and Wrekin"
"131","E06000034","Thurrock"
"132","E06000027","Torbay"
"133","E09000030","Tower Hamlets"
"134","E08000009","Trafford"
"135","E08000036","Wakefield"
"136","E08000030","Walsall"
"137","E09000031","Waltham Forest"
"138","E09000032","Wandsworth"
"139","E06000007","Warrington"
"140","E10000031","Warwickshire"
"141","E06000037","West Berkshire"
"142","E06000062","West Northamptonshire"
"143","E10000032","West Sussex"
"144","E09000033","Westminster"
"145","E08000010","Wigan"
"146","E06000054","Wiltshire"
"147","E06000040","Windsor and Maidenhead"
"148","E08000015","Wirral"
"149","E06000041","Wokingham"
"150","E08000031","Wolverhampton"
"151","E10000034","Worcestershire"
"152","E06000014","York"
