"","EmpAt12mth","multiplier_msk","multiplier_mh","multiplier_msk_mh"
"1",0,1,1,1
"2",0.01,1,1,1
"3",0.02,1,1,1
"4",0.03,1,1,1
"5",0.04,1,1,1
"6",0.05,1,1,1
"7",0.06,1,1,1
"8",0.07,1,1,1
"9",0.08,1,1,1
"10",0.09,1,1,1
"11",0.1,0.96,1,1
"12",0.11,0.87,1,1
"13",0.12,0.78,1,1
"14",0.13,0.69,1,0.92
"15",0.14,0.6,1,0.82
"16",0.15,0.515,1,0.73
"17",0.16,0.43,0.92,0.63
"18",0.17,0.34,0.83,0.54
"19",0.18,0.26,0.74,0.44
"20",0.19,0.18,0.65,0.34
"21",0.2,0.09,0.56,0.24
"22",0.21,0.045,0.475,0.145
"23",0.22,0,0.39,0.05
"24",0.23,-0.003,0.31,0
"25",0.24,-0.007,0.23,-0.003
"26",0.25,-0.01,0.15,-0.007
"27",0.26,-0.013,0.07,-0.01
"28",0.27,-0.017,0,-0.013
"29",0.28,-0.02,-0.004,-0.017
"30",0.29,-0.024,-0.008,-0.02
"31",0.3,-0.028,-0.012,-0.023
"32",0.31,-0.032,-0.016,-0.027
"33",0.32,-0.036,-0.02,-0.03
"34",0.33,-0.04,-0.023,-0.033
"35",0.34,-0.043,-0.027,-0.037
"36",0.35,-0.047,-0.03,-0.04
"37",0.36,-0.05,-0.035,-0.045
"38",0.37,-0.055,-0.04,-0.05
"39",0.38,-0.06,-0.043,-0.053
"40",0.39,-0.064,-0.047,-0.057
"41",0.4,-0.068,-0.05,-0.06
"42",0.41,-0.072,-0.055,-0.065
"43",0.42,-0.076,-0.06,-0.07
"44",0.43,-0.08,-0.065,-0.073
"45",0.44,-0.084,-0.07,-0.077
"46",0.45,-0.088,-0.075,-0.08
"47",0.46,-0.092,-0.08,-0.085
"48",0.47,-0.096,-0.085,-0.09
"49",0.48,-0.1,-0.09,-0.095
"50",0.49,-0.105,-0.095,-0.1
"51",0.5,-0.11,-0.1,-0.103
"52",0.51,-0.115,-0.105,-0.107
"53",0.52,-0.12,-0.11,-0.11
"54",0.53,-0.125,-0.115,-0.115
"55",0.54,-0.13,-0.12,-0.12
"56",0.55,-0.135,-0.125,-0.125
"57",0.56,-0.14,-0.13,-0.13
"58",0.57,-0.145,-0.135,-0.135
"59",0.58,-0.15,-0.14,-0.14
"60",0.59,-0.155,-0.15,-0.145
"61",0.6,-0.16,-0.155,-0.15
"62",0.61,-0.165,-0.16,-0.155
"63",0.62,-0.17,-0.17,-0.16
"64",0.63,-0.18,-0.175,-0.17
"65",0.64,-0.185,-0.18,-0.175
"66",0.65,-0.19,-0.19,-0.18
"67",0.66,-0.195,-0.195,-0.185
"68",0.67,-0.2,-0.2,-0.19
"69",0.68,-0.207,-0.21,-0.2
"70",0.69,-0.213,-0.218,-0.207
"71",0.7,-0.22,-0.227,-0.213
"72",0.71,-0.23,-0.235,-0.22
"73",0.72,-0.235,-0.243,-0.225
"74",0.73,-0.24,-0.252,-0.23
"75",0.74,-0.25,-0.26,-0.24
"76",0.75,-0.26,-0.27,-0.245
"77",0.76,-0.27,-0.28,-0.25
"78",0.77,-0.275,-0.29,-0.26
"79",0.78,-0.28,-0.3,-0.27
"80",0.79,-0.29,-0.31,-0.28
"81",0.8,-0.3,-0.32,-0.29
"82",0.81,-0.31,-0.33,-0.3
"83",0.82,-0.32,-0.345,-0.31
"84",0.83,-0.33,-0.36,-0.32
"85",0.84,-0.34,-0.375,-0.33
"86",0.85,-0.36,-0.39,-0.34
"87",0.86,-0.37,-0.405,-0.35
"88",0.87,-0.38,-0.42,-0.36
"89",0.88,-0.4,-0.44,-0.37
"90",0.89,-0.41,-0.45,-0.39
"91",0.9,-0.43,-0.48,-0.4
"92",0.91,-0.44,-0.5,-0.42
"93",0.92,-0.46,-0.53,-0.44
"94",0.93,-0.49,-0.56,-0.46
"95",0.94,-0.51,-0.623,-0.488
"96",0.95,-0.54,-0.686,-0.515
"97",0.96,-0.58,-0.749,-0.542
"98",0.97,-0.62,-0.811,-0.57
"99",0.98,-0.69,-0.874,-0.62
"100",0.99,-0.82,-0.937,-0.71
"101",1,-1,-1,-1
